"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","testRandomEmail()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomEmail"
"","3","testRandomStringUniqueness()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomStringUniqueness"
"","24502","testSuccessfulRegistration()","","Sun Apr 20 11:36:39 EEST 2025","passed","Sun Apr 20 11:37:03 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","testSuccessfulRegistration"
"","3","testRandomPasswordWithNumbers()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPasswordWithNumbers"
"","1","testRandomPassword()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPassword"
"","0","testClicks()","","Sun Apr 20 11:36:21 EEST 2025","skipped","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","testClicks"
"","3","testRandomStringContent()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomStringContent"
"","8384","testDuplicateEmailRegistration()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:30 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","testDuplicateEmailRegistration"
"","9107","testMissingRequiredFieldsRegistration()","","Sun Apr 20 11:36:30 EEST 2025","passed","Sun Apr 20 11:36:39 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","org.rusak.rtu.ditef.ai.tsq.hw2.Feature1RegistrationTest","testMissingRequiredFieldsRegistration"
"","14062","testLogin()","","Sun Apr 20 11:37:03 EEST 2025","passed","Sun Apr 20 11:37:17 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.hw2.LoginLogoutTest","org.rusak.rtu.ditef.ai.tsq.hw2.LoginLogoutTest","testLogin"
"","0","testFrames()","","Sun Apr 20 11:36:21 EEST 2025","skipped","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","testFrames"
"","24","testRandomEmailWithCustomDomain()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomEmailWithCustomDomain"
"","0","testRegistration()","","Sun Apr 20 11:36:21 EEST 2025","skipped","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.RegistrationTest","org.rusak.rtu.ditef.ai.tsq.RegistrationTest","testRegistration"
"","1","testRandomPasswordUniqueness()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPasswordUniqueness"
"","13462","testLogout()","","Sun Apr 20 11:37:17 EEST 2025","passed","Sun Apr 20 11:37:31 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.hw2.LoginLogoutTest","org.rusak.rtu.ditef.ai.tsq.hw2.LoginLogoutTest","testLogout"
"","2","testRandomPasswordLength()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPasswordLength"
"","1","test()","","Sun Apr 20 11:36:21 EEST 2025","skipped","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","org.rusak.rtu.ditef.ai.tsq.ProofOfConceptTest","test"
"","2","testRandomStringLength()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomStringLength"
"","2","testRandomPasswordWithMixedCase()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPasswordWithMixedCase"
"","2","testRandomPasswordWithSpecialCharacters()","","Sun Apr 20 11:36:21 EEST 2025","passed","Sun Apr 20 11:36:21 EEST 2025","","org.rusak.rtu.ditef.ai.tsq.UtilsTest","org.rusak.rtu.ditef.ai.tsq.UtilsTest","testRandomPasswordWithSpecialCharacters"
